,user_id,time,matrix
0,23846632,2021-02-28,"[(6, 'black'), (5, 'wa'), (3, 'racism'), (3, 'ray8fisher'), (3, 'investigation'), (2, 'police'), (2, 'tom__shanks'), (2, 'series'), (2, 'real'), (2, 'back')]"
1,23846632,2021-03-31,"[(4, '3'), (3, 'get'), (3, 'see'), (3, 'people'), (3, 'black'), (3, 'u'), (3, 'tho'), (3, 'one'), (3, '6'), (3, 'year')]"
2,71010692,2021-03-31,"[(4, 'patch'), (3, 'crab'), (3, 'persevering'), (3, 'wa'), (3, 'spider'), (2, 'would'), (2, 'kitty'), (2, 'cat'), (2, 'life'), (2, 'photo')]"
3,73653137,2021-02-28,"[(1, 'a_pla'), (1, 'even'), (1, 'nt'), (1, 'pla'), (0, 'inaugural'), (0, 'the_butcher'), (0, 'tco3ha36i5oex'), (0, 'mexican'), (0, 'actbrigitte'), (0, 'place')]"
4,77228729,2021-02-28,"[(13, 'one'), (10, 'nt'), (9, 'like'), (8, 'time'), (8, 'wa'), (7, 'first'), (7, 'make'), (7, 'alex_cosplay'), (6, 'year'), (6, 'know')]"
5,77228729,2021-03-31,"[(5, 'alex_cosplay'), (4, 'nt'), (4, '_alex_cosplay'), (3, 'get'), (3, 'time'), (3, 'though'), (3, 'like'), (3, 'got'), (2, '3'), (2, 'selador64')]"
6,96973981,2021-02-28,"[(2, 'uh'), (2, 'doce'), (1, 'wall'), (1, 'tcovlvy3wuh6h'), (1, 'hard'), (1, 'demais'), (1, 'tcovejvs4kyrf'), (1, 'time'), (1, 'portaltracklist'), (1, 'real')]"
7,96973981,2021-03-31,"[(2, 'one'), (2, 'march'), (2, '1st'), (1, 'enthusiastic'), (1, 'suit'), (1, 'markle'), (1, '2020'), (1, 'reiagz'), (1, 'halfadams'), (1, 'meghan')]"
8,184671594,2020-10-31,"[(5, 'wa'), (4, 't_yping9'), (4, 'oniontaker'), (3, 'would'), (3, 'really'), (3, 'nt'), (3, '_simonodocopp'), (3, 'calumkirkcaldy'), (3, 'simonodocopp'), (3, 'like')]"
9,184671594,2020-11-30,"[(3, 'oniontaker'), (2, 'kurucy'), (2, 'wine'), (2, 'yikes'), (2, 'really'), (2, '_drmubpepper'), (2, 'go'), (2, 'coming'), (2, 'back'), (2, 'calumkirkcaldy')]"
10,184671594,2020-12-31,"[(9, 'wa'), (7, 'oniontaker'), (5, 'see'), (5, 'one'), (5, 'chenacty'), (4, 'lol'), (4, 'like'), (3, 'kurucy'), (3, 'go'), (3, 'last')]"
11,184671594,2021-01-31,"[(5, 'culture'), (5, '_calkirkcaldy'), (5, 'calkirkcaldy'), (4, 'nt'), (3, 'djjenniee'), (2, 'lck'), (2, 'fan'), (2, 'wa'), (2, 'probably'), (2, 'definitely')]"
12,184671594,2021-02-28,"[(4, 'calkirkcaldy'), (3, '_calkirkcaldy'), (3, 'let'), (2, 'get'), (2, 'samhime_'), (2, 'nice'), (1, 'pandemic'), (1, 'influential_electronic_artist'), (1, 'never'), (1, 'experience')]"
13,184671594,2021-03-31,"[(1, 'never'), (1, 'fashion'), (1, 'king'), (1, 'scream_bby'), (1, '_djjenniee_fashion'), (1, 'ashleighmn'), (1, 'chenacty'), (1, '2023'), (1, '_scream_bby'), (1, 'the_jersey')]"
14,220082108,2021-03-31,"[(2, 'sanremo2021'), (1, 'fulminacci'), (1, 'dress'), (1, 'sanremo2021_https'), (1, 'protect'), (1, 'coma_cose'), (1, 'reference'), (1, 'coma_cose_dress'), (1, 'tcovbo5pskmt3'), (1, 'cost')]"
16,223135996,2021-03-31,"[(1, 'rainforesttrust'), (1, 'tcoqtcrmbkhfa'), (1, 'every'), (1, 'this_dog'), (1, '15000'), (1, 'happy'), (1, 'ultraperceptivepooch'), (1, 'retweet'), (1, 'please'), (1, 'worldwildlifeday')]"
15,223135996,2021-02-28,"[(2, 'startrek'), (1, 'life'), (1, 'every'), (1, 'tcoteyvtjmsfq'), (1, 'llap_https'), (1, 'nimoy'), (1, 'leonard'), (1, 'llap'), (1, 'legacy'), (1, 'today')]"
17,574646646,2021-02-28,"[(19, 'watch'), (13, 'night'), (13, 'fire'), (12, 'back'), (11, 'good'), (11, 'evening'), (10, 'handing'), (10, 'mobilised'), (10, 'tomorrow'), (10, 'crew')]"
18,574646646,2021-03-31,"[(8, 'watch'), (6, 'day'), (5, 'white_watch'), (5, 'good'), (5, 'back'), (5, 'fire'), (5, 'crew'), (5, 'white'), (5, 'evening'), (5, 'roystonfire')]"
19,1317169154,2021-02-28,"[(10, 'lmao'), (10, 'lol'), (8, 'love'), (7, 'get'), (7, 'today'), (7, 'like'), (6, 'fuck'), (6, 'feel'), (6, 'work'), (5, 'yes')]"
20,1317169154,2021-03-31,"[(5, 'get'), (4, 'wa'), (3, 'shit'), (3, 'love'), (3, 'day'), (2, 'see'), (2, 'hell'), (2, 'really'), (2, 'go'), (2, 'bourtkneee')]"
21,2256849367,2021-02-28,"[(11, 'get'), (10, 'love'), (8, 'like'), (7, 'na'), (7, 'new'), (7, 'girl'), (6, 'gt'), (6, 'bitch'), (6, 'gon'), (6, 'say')]"
22,2256849367,2021-03-31,"[(3, 'bad'), (3, 'shit'), (3, 'dog'), (3, 'got'), (3, '_t'), (2, 'place'), (2, 'fucked'), (2, 'get'), (2, 'cuz'), (2, 'time')]"
