,user_id,time,matrix
0,23846632,2021-02-28,"[(6, 'black'), (5, 'wa'), (3, 'racism'), (3, 'ray8fisher'), (3, 'investigation'), (2, 'police'), (2, 'tom__shanks'), (2, 'series'), (2, 'real'), (2, 'back')]"
1,23846632,2021-03-07,"[(4, '3'), (3, 'get'), (3, 'see'), (3, 'people'), (3, 'black'), (3, 'u'), (3, 'tho'), (3, 'one'), (3, '6'), (3, 'year')]"
2,71010692,2021-03-07,"[(4, 'patch'), (3, 'crab'), (3, 'persevering'), (3, 'wa'), (3, 'spider'), (2, 'would'), (2, 'kitty'), (2, 'cat'), (2, 'life'), (2, 'photo')]"
3,73653137,2021-02-28,"[(1, 'a_pla'), (1, 'even'), (1, 'nt'), (1, 'pla'), (0, 'inaugural'), (0, 'the_butcher'), (0, 'tco3ha36i5oex'), (0, 'mexican'), (0, 'actbrigitte'), (0, 'place')]"
4,77228729,2021-02-07,"[(3, 'one'), (3, 'nt'), (2, 'band'), (2, '_chaarlimander'), (2, 'pretty'), (2, 'cause'), (2, 'best'), (2, 'make'), (2, 'like'), (2, 'feel')]"
5,77228729,2021-02-14,"[(3, 'time'), (3, 'one'), (3, 'alex_cosplay'), (2, 'would'), (2, 'happy'), (2, 'marble'), (2, 'selador64'), (2, 'nt'), (2, 'asking'), (2, 'wa')]"
6,77228729,2021-02-21,"[(4, 'one'), (4, 'mean'), (3, 'people'), (3, 'wa'), (3, 'make'), (3, 'like'), (3, 'much'), (2, 'carlyfoxysox'), (2, 'cjbuchko'), (2, 'come')]"
7,77228729,2021-02-28,"[(4, 'stream'), (3, 'time'), (3, 'first'), (3, 'one'), (3, 'go'), (3, 'nt'), (3, 'tear'), (3, 'like'), (3, 'justjaremi'), (3, 'want')]"
8,77228729,2021-03-07,"[(5, 'alex_cosplay'), (4, 'nt'), (4, '_alex_cosplay'), (3, 'get'), (3, 'time'), (3, 'though'), (3, 'like'), (3, 'got'), (2, '3'), (2, 'selador64')]"
11,96973981,2021-03-07,"[(2, 'one'), (2, 'march'), (2, '1st'), (1, 'enthusiastic'), (1, 'suit'), (1, 'markle'), (1, '2020'), (1, 'reiagz'), (1, 'halfadams'), (1, 'meghan')]"
10,96973981,2021-02-28,"[(2, 'uh'), (2, 'doce'), (1, 'wall'), (1, 'tcovlvy3wuh6h'), (1, 'hard'), (1, 'tcovejvs4kyrf'), (1, 'time'), (1, 'portaltracklist'), (1, 'real'), (1, 'cry')]"
9,96973981,2021-02-21,"[(1, 'demais'), (1, 'finalmente'), (1, 'flashback'), (1, 'bbb'), (1, 'same_energy'), (1, 'demorou'), (1, 'byunnymen'), (1, 'tco3nphtil79a'), (1, 'energy'), (0, 'inaugural')]"
33,184671594,2021-03-07,"[(1, 'never'), (1, 'fashion'), (1, 'king'), (1, 'scream_bby'), (1, '_djjenniee_fashion'), (1, 'ashleighmn'), (1, 'chenacty'), (1, '2023'), (1, '_scream_bby'), (1, 'the_jersey')]"
32,184671594,2021-02-28,"[(2, 'get'), (2, 'calkirkcaldy'), (1, 'influential_electronic_artist'), (1, 'vaccine'), (1, 'pop'), (1, 'even'), (1, '_calkirkcaldy'), (1, 'a_vaccine'), (1, 'togetherrrr'), (1, 'influential')]"
31,184671594,2021-02-21,"[(1, 'hit'), (1, 'see'), (1, 'first'), (1, 'concert'), (1, 'turn'), (1, 'covid19'), (1, 'let'), (1, 'since'), (0, 'inaugural'), (0, 'the_butcher')]"
29,184671594,2021-02-07,"[(2, 'samhime_'), (2, 'nice'), (1, 'pandemic'), (1, 'never'), (1, 'experience'), (1, 'super_nice'), (1, 'tco3v0v71agyi'), (1, 'job'), (1, 'taeyeon'), (1, 'emote')]"
28,184671594,2021-01-31,"[(2, 'fan'), (2, 'doe'), (1, 'notsosmall'), (1, 'cmll'), (1, 'asian'), (1, 'swear'), (1, 'fetishize'), (1, 'a_notsosmall_portion'), (1, 'a_music'), (1, 'read')]"
